,isConversationControlled,isPinned,isQuote,isReply,isRetweet,lang,likeCount,media/0,media/1,possiblySensitive,replyCount,quoteCount,retweetCount,source,type,viewCount,target
89,0,0,0,0,1,8,19.0,0,0,0,2.0,0.0,6.0,11,1,10541.0,0
90,0,0,0,0,1,8,1896.0,0,0,0,77.0,19.0,412.0,16,1,59300.0,0
91,0,0,0,0,1,8,25.0,0,0,0,3.0,0.0,4.0,16,1,8329.0,0
92,0,0,0,0,1,8,5.0,0,0,0,0.0,0.0,4.0,13,1,1535.0,0
93,0,0,0,0,1,8,2.0,0,0,0,0.0,0.0,4.0,13,1,215.0,0
94,0,0,0,0,1,8,4.0,0,0,0,0.0,0.0,4.0,13,1,876.0,0
95,0,0,0,0,1,8,98.0,1,1,0,24.0,0.0,5.0,13,1,528.0,0
96,0,0,0,0,1,8,2.0,0,0,0,2.0,1.0,4.0,13,1,866.0,0
97,0,0,0,0,1,8,2497.0,1,0,0,100.0,22.0,1142.0,13,1,40480.0,0
98,0,0,0,0,1,8,8.0,0,0,0,1.0,0.0,4.0,13,1,933.0,0
99,0,0,0,0,1,8,22.0,0,0,0,2.0,0.0,12.0,13,1,2734.0,0
100,0,0,0,0,1,8,10.0,0,0,0,1.0,0.0,5.0,13,1,3024.0,0
101,0,0,0,0,1,8,28.0,0,0,0,4.0,0.0,16.0,13,1,4484.0,0
102,0,0,0,0,1,8,334.0,0,0,0,85.0,27.0,150.0,13,1,47782.0,0
103,0,0,0,0,1,8,16.0,0,0,0,0.0,0.0,13.0,13,1,1611.0,0
104,0,0,0,0,1,8,7.0,0,0,0,0.0,0.0,4.0,13,1,315.0,0
105,0,0,0,0,1,8,6.0,0,0,0,2.0,0.0,5.0,13,1,910.0,0
106,0,0,0,0,1,8,6.0,0,0,0,0.0,0.0,8.0,13,1,2542.0,0
107,0,0,0,0,1,8,654.0,0,0,0,41.0,14.0,269.0,13,1,10920.0,0
108,0,0,0,0,1,10,8.0,0,0,0,0.0,0.0,6.0,13,1,624.0,0
109,0,0,0,0,1,8,3188.0,1,0,0,125.0,132.0,2252.0,13,1,54085.0,0
110,0,0,0,0,1,8,9.0,0,0,0,0.0,0.0,12.0,13,1,2713.0,0
111,0,0,0,0,1,8,135.0,0,0,0,23.0,18.0,56.0,13,1,23516.0,0
112,0,0,0,0,1,8,596.0,0,0,0,31.0,14.0,237.0,15,1,9638.0,0
113,0,0,0,0,1,8,13034.0,0,0,0,612.0,224.0,3483.0,15,1,663778.0,0
114,0,0,0,0,0,8,357.0,0,0,0,16.0,4.0,41.0,15,1,8807.0,0
115,0,0,1,0,0,8,122.0,0,0,0,0.0,0.0,43.0,15,1,2325.0,0
116,0,0,0,0,1,16,804.0,1,0,0,7.0,7.0,357.0,15,1,7699.0,0
117,0,0,0,0,0,8,80.0,0,0,0,1.0,0.0,22.0,15,1,2723.0,0
118,0,0,0,0,1,8,1524.0,0,0,0,115.0,32.0,895.0,15,1,52156.0,0
119,0,0,0,0,1,16,142.0,0,0,0,0.0,6.0,107.0,15,1,6747.0,0
120,1,0,0,0,1,8,158.0,0,0,0,0.0,2.0,66.0,15,1,4941.0,0
121,0,0,0,0,1,8,1389.0,0,0,0,96.0,23.0,738.0,15,1,26638.0,0
122,0,0,0,0,1,8,608.0,0,0,0,24.0,25.0,421.0,15,1,26707.0,0
123,0,0,0,0,1,8,1639.0,0,0,0,34.0,19.0,769.0,15,1,28136.0,0
124,0,0,0,0,1,8,3548.0,0,0,0,94.0,32.0,2189.0,15,1,71346.0,0
125,0,0,0,0,1,8,287.0,0,0,0,5.0,9.0,87.0,16,1,32595.0,0
126,0,0,0,0,1,8,3052.0,0,0,0,46.0,24.0,839.0,16,1,115441.0,0
127,0,0,0,0,1,16,67.0,1,0,0,0.0,3.0,42.0,15,1,1535.0,0
128,0,0,0,0,1,8,180.0,0,0,0,9.0,6.0,39.0,15,1,12400.0,0
129,0,0,0,0,1,45,15.0,0,0,0,2.0,0.0,7.0,15,1,1416.0,0
130,0,0,0,0,1,8,15.0,0,0,0,2.0,1.0,8.0,15,1,1201.0,0
131,0,0,1,0,0,8,64.0,0,0,0,1.0,0.0,19.0,15,1,1913.0,0
132,0,0,0,1,0,8,16.0,0,0,0,0.0,1.0,7.0,15,1,450.0,0
133,0,0,0,0,1,8,2305.0,0,0,0,253.0,169.0,905.0,13,1,185966.0,0
134,0,0,0,0,1,8,202.0,0,0,0,23.0,5.0,137.0,13,1,6983.0,0
135,0,0,0,0,1,8,220.0,0,0,0,10.0,8.0,71.0,13,1,12595.0,0
136,0,0,0,0,1,8,540.0,0,0,0,34.0,9.0,119.0,13,1,8734.0,0
137,0,0,1,0,0,8,89.0,0,0,0,1.0,0.0,17.0,13,1,1968.0,0
138,0,0,0,0,1,8,204.0,0,0,0,6.0,3.0,66.0,13,1,6547.0,0
139,0,0,0,0,1,8,2946.0,0,0,0,183.0,54.0,584.0,13,1,170147.0,0
140,0,0,1,0,0,8,31.0,0,0,0,1.0,0.0,2.0,13,1,1582.0,0
141,0,0,0,0,1,8,536.0,0,0,0,25.0,2.0,200.0,13,1,17637.0,0
142,0,0,0,0,1,8,22306.0,1,0,0,241.0,192.0,3605.0,13,1,805963.0,0
143,0,0,0,0,0,8,2637.0,1,1,0,188.0,25.0,443.0,13,1,108962.0,0
144,0,0,0,0,1,16,405.0,0,0,0,73.0,12.0,130.0,13,1,60255.0,0
145,0,0,0,0,1,8,571.0,0,0,0,44.0,13.0,193.0,13,1,52633.0,0
146,0,0,0,0,1,8,94.0,0,0,0,0.0,1.0,22.0,13,1,9499.0,0
147,0,0,0,0,1,8,2863.0,1,0,0,899.0,1231.0,510.0,13,1,5418169.0,0
